"seccion","tipo","nombre_municipio","cabecera_distrital_local"
"475","R","SAN FRANCISCO DE LOS ROMO","SAN FRANCISCO DE LOS ROMO"
"476","R","SAN FRANCISCO DE LOS ROMO","SAN FRANCISCO DE LOS ROMO"
"477","R","SAN FRANCISCO DE LOS ROMO","SAN FRANCISCO DE LOS ROMO"
"478","M","SAN FRANCISCO DE LOS ROMO","SAN FRANCISCO DE LOS ROMO"
"479","M","EL LLANO","PALO ALTO"
"480","M","EL LLANO","PALO ALTO"
"481","R","EL LLANO","PALO ALTO"
"482","R","EL LLANO","PALO ALTO"
"483","R","EL LLANO","PALO ALTO"
"484","R","EL LLANO","PALO ALTO"
"485","R","EL LLANO","PALO ALTO"
"486","R","EL LLANO","PALO ALTO"
"488","R","PABELLON DE ARTEAGA","PABELLON DE ARTEAGA"
"489","U","AGUASCALIENTES","AGUASCALIENTES"
"490","U","AGUASCALIENTES","AGUASCALIENTES"
"491","U","AGUASCALIENTES","AGUASCALIENTES"
"492","U","AGUASCALIENTES","AGUASCALIENTES"
"493","U","AGUASCALIENTES","AGUASCALIENTES"
"494","U","AGUASCALIENTES","AGUASCALIENTES"
"495","U","AGUASCALIENTES","AGUASCALIENTES"
"496","U","AGUASCALIENTES","AGUASCALIENTES"
"497","U","AGUASCALIENTES","AGUASCALIENTES"
"498","U","AGUASCALIENTES","AGUASCALIENTES"
"499","U","AGUASCALIENTES","AGUASCALIENTES"
"500","U","AGUASCALIENTES","AGUASCALIENTES"
"501","U","AGUASCALIENTES","AGUASCALIENTES"
"502","U","AGUASCALIENTES","AGUASCALIENTES"
"503","U","AGUASCALIENTES","AGUASCALIENTES"
"504","U","AGUASCALIENTES","AGUASCALIENTES"
"505","U","AGUASCALIENTES","AGUASCALIENTES"
"506","U","AGUASCALIENTES","AGUASCALIENTES"
"507","U","AGUASCALIENTES","AGUASCALIENTES"
"508","U","AGUASCALIENTES","AGUASCALIENTES"
"509","U","AGUASCALIENTES","AGUASCALIENTES"
"510","U","AGUASCALIENTES","AGUASCALIENTES"
"511","U","AGUASCALIENTES","AGUASCALIENTES"
"512","U","AGUASCALIENTES","AGUASCALIENTES"
"513","U","AGUASCALIENTES","AGUASCALIENTES"
"514","U","AGUASCALIENTES","AGUASCALIENTES"
"515","U","AGUASCALIENTES","AGUASCALIENTES"
"516","U","AGUASCALIENTES","AGUASCALIENTES"
"517","U","AGUASCALIENTES","AGUASCALIENTES"
"518","U","AGUASCALIENTES","AGUASCALIENTES"
"519","U","AGUASCALIENTES","AGUASCALIENTES"
"520","U","AGUASCALIENTES","AGUASCALIENTES"
"521","U","AGUASCALIENTES","AGUASCALIENTES"
"522","U","AGUASCALIENTES","AGUASCALIENTES"
